city_name,country_code,latitude,longitude
leskovik,al,40.15139,20.59722
leshnje,al,40.53694,20.31333
lenias,al,40.76667,20.39139
lekas,al,40.60222,20.51250
lazarat,al,40.04667,20.14750
labinot_mal,al,41.20083,20.15222
labinot_fushe,al,41.14056,20.14611
kushove,al,40.78889,20.18889
kurbnesh,al,41.77972,20.08361
kukur,al,40.86778,20.36361
kukes,al,42.07694,20.42194
kthella_e_eperme,al,41.81194,20.05889
krume,al,42.19694,20.41333
korce,al,40.61861,20.78083
kolsh,al,42.07806,20.34194
kodovjat,al,40.80556,20.25111
klos,al,41.50694,20.08667
klos,al,40.94611,20.00972
kelcyre,al,40.31306,20.18944
kastriot,al,41.72944,20.37722
kardhiq,al,40.12167,20.02750
kalis,al,41.83889,20.36667
iballe,al,42.18750,20.00250
hotolisht,al,41.15667,20.39722
hocisht,al,40.60833,20.91417
gramsh,al,40.86972,20.18444
gostime,al,41.14556,20.24000
golaj,al,42.24750,20.38028
gjorica_e_siperme,al,41.53444,20.45000
gjirokaster,al,40.07583,20.13889
gjinar,al,41.02250,20.18889
gjinaj,al,42.11806,20.43583
gjergjan,al,41.04306,20.02972
gjegjan,al,41.93778,20.01111
fushe_muhurr,al,41.67972,20.33139
fushe_lure,al,41.80611,20.23194
fushe_cidhne,al,41.76056,20.34111
fushe_bulqize,al,41.52194,20.28222
fushe_arrez,al,42.06222,20.01667
frasher,al,40.36889,20.42444
fierze,al,42.26056,20.01694
fajze,al,42.16694,20.35083
erseke,al,40.33778,20.67889
elbasan,al,41.11250,20.08222
drenove,al,40.58333,20.79222
dishnice,al,40.65139,20.81361
derjan,al,41.67361,20.05833
gjerbes,al,40.62917,20.25111
corovode,al,40.50417,20.22722
clirim,al,40.41750,20.55028
cerava,al,40.85139,20.72500
cepan,al,40.42056,20.26056
carshove,al,40.11806,20.54083
kokaj,al,41.87833,20.50472
buz,al,40.44500,20.00472
bushtrice,al,41.87861,20.42194
burrel,al,41.61028,20.00889
bulqize,al,41.49167,20.22194
bujan,al,42.32639,20.07639
bradashesh,al,41.10500,20.02250
blinisht,al,41.86139,20.00000
blerim,al,42.16056,20.19194
bilisht,al,40.62750,20.99000
bicaj,al,41.99472,20.41250
dardhas,al,40.84583,20.65722
barmash,al,40.27778,20.61833
ballaban,al,40.41667,20.13444
arren,al,41.91306,20.28833
arras,al,41.73583,20.32417
bytyc,al,42.31000,20.20278
librazhd_qender,al,41.19694,20.33556
funare,al,41.19639,20.05972
moglice,al,40.71806,20.43806
bogove,al,40.57111,20.15000
piskove,al,40.27917,20.27250
lukove,al,39.99222,19.91389
ksamil,al,39.76889,19.99972
zharrez,al,40.70917,19.64972
zejmen,al,41.70778,19.68917
zall_herr,al,41.38944,19.82750
zall_bastar,al,41.42972,19.93028
xhafzotaj,al,41.34444,19.54750
vukatane,al,42.02806,19.54778
vranisht,al,40.20972,19.69083
vore,al,41.39083,19.65500
vlore,al,40.46667,19.48972
velipoje,al,41.87833,19.40556
velabisht,al,40.70167,19.93222
vaqarr,al,41.29917,19.74417
ura_vajgurore,al,40.76889,19.87778
ungrej,al,41.87528,19.79472
ulez,al,41.68278,19.89333
topoje,al,40.76306,19.43278
tirana,al,41.32750,19.81889
thumane,al,41.54750,19.67778
terbuf,al,41.04000,19.61417
synej,al,41.18000,19.54250
sukth,al,41.38056,19.53778
strum,al,40.75111,19.73750
sinje,al,40.64806,19.86806
sinaballaj,al,41.06889,19.69944
